,t,pixelx,pixely
523,8.818333,690.2161,312.613
524,8.835,690.9234,312.613
525,8.851667,690.9234,312.613
526,8.868333,693.0452,312.613
527,8.885,695.167,311.1984
528,8.901667,695.167,310.4912
529,8.918333,695.167,307.6621
530,8.935,695.167,307.6621
531,8.951667,695.167,302.0039
532,8.968333,695.167,301.2967
533,8.985,697.2888,295.6385
534,9.001667,697.2888,292.8094
535,9.018333,697.2888,292.8094
536,9.035,697.2888,291.3949
537,9.051667,697.2888,287.1513
538,9.085,693.0452,284.3222
539,9.101667,676.778,275.835
540,9.118333,676.778,275.835
541,9.135,678.1925,275.835
542,9.151667,678.1925,275.835
543,9.168333,678.1925,275.835
544,9.185,676.0707,275.835
545,9.201667,668.998,275.835
546,9.218333,668.998,275.835
547,9.235,667.5835,275.835
548,9.251667,647.0727,275.835
549,9.268333,647.0727,275.835
550,9.285,647.0727,275.835
551,9.301667,638.5855,275.835
552,9.318333,633.6346,275.835
553,9.335,624.4401,275.835
554,9.351667,622.3183,275.835
555,9.368333,612.4165,275.835
556,9.385,601.1002,275.1277
557,9.401667,613.831,263.8114
558,9.418333,613.831,263.8114
559,9.435,613.831,263.8114
560,9.453333,611.7092,264.5187
561,9.47,601.8075,272.2986
562,9.486667,589.7839,276.5422
563,9.503333,588.3694,280.0786
564,9.52,588.3694,281.4931
565,9.536667,588.3694,285.7367
566,9.553333,588.3694,289.2731
567,9.57,588.3694,289.9804
568,9.586667,588.3694,289.9804
569,9.603333,588.3694,289.9804
570,9.62,597.5639,289.9804
571,9.636667,597.5639,289.9804
572,9.653333,597.5639,289.9804
573,9.67,597.5639,289.9804
574,9.686667,599.6857,293.5167
575,9.703333,602.5147,295.6385
576,9.72,613.1238,301.2967
577,9.736667,628.6837,315.442
578,9.753333,629.391,315.442
579,9.77,632.22,315.442
580,9.786667,632.22,315.442
581,9.803333,635.0491,315.442
582,9.82,640.0,309.0766
583,9.836667,643.5363,314.7348
584,9.853333,658.389,314.7348
585,9.87,662.6326,314.7348
586,9.886667,675.3635,311.1984
587,9.903333,676.778,311.1984
588,9.92,679.6071,311.1984
589,9.936667,681.0216,309.0766
590,9.953333,681.0216,309.0766
591,9.97,685.9725,307.6621
592,9.986667,697.9961,298.4676
593,10.00333,697.9961,298.4676
594,10.02,702.2397,298.4676
595,10.03667,702.947,299.8821
596,10.05333,705.776,299.8821
